method,elapsed,size
1,2.13e-5,1000
1,0.0001743,10000
1,0.001809,100000
1,0.0297544,1000000
1,0.3253247,10000000
1,3.3440001,100000000
2,0.0003012,1000
2,0.0030266,10000
2,0.0323517,100000
2,0.3227564,1000000
2,3.5112411,10000000
2,35.0356118,100000000
3,0.0003685,1000
3,0.0008994,10000
3,0.0051089,100000
3,0.0688796,1000000
3,0.7332399,10000000
3,7.6581766,100000000
