Method,Size,Elapsed
1,1000,0.00056731
1,10000,0.00032231
1,100000,0.00230052
1,1000000,0.05299795
1,10000000,0.35286656
1,100000000,3.72702979
2,1000,0.00125622
2,10000,0.00699349
2,100000,0.07354216
2,1000000,0.71511875
2,10000000,6.72106484
2,100000000,64.64698797
3,1000,0.10687136
3,10000,0.11014476
3,100000,0.12710529
3,1000000,0.16494534
3,10000000,1.12132047
3,100000000,11.47843433
