Method,Size,Elapsed
1,1000,0.00046067
1,10000,0.00032915
1,100000,0.00210704
1,1000000,0.03532527
1,10000000,0.35764406
1,100000000,3.63733175
2,1000,0.00118899
2,10000,0.00696917
2,100000,0.07257956
2,1000000,0.6696777
2,10000000,6.53649664
2,100000000,64.84934915
3,1000,0.05404383
3,10000,0.05653043
3,100000,0.05693041
3,1000000,0.1743551
3,10000000,1.27330685
3,100000000,12.40784503
