Method,Size,Elapsed
1,1000,0.00044317
1,10000,0.00033136
1,100000,0.00211138
1,1000000,0.03550336
1,10000000,0.35544123
1,100000000,3.65692293
2,1000,0.00119201
2,10000,0.00784016
2,100000,0.06990485
2,1000000,0.66715718
2,10000000,6.43020593
2,100000000,62.34035295
3,1000,0.05547663
3,10000,0.04700211
3,100000,0.06513472
3,1000000,0.25433899
3,10000000,2.11993821
3,100000000,20.71375176
