index,Method,Size (N),Elapsed (s)
0,1,1000.0,0.0002346999999998
1,1,10000.0,0.0007783000000001
2,1,100000.0,0.0065717
3,1,1000000.0,0.1038815999999998
4,1,10000000.0,1.0489251000000002
0,2,1000.0,0.0020966999999996
1,2,10000.0,0.0220715
2,2,100000.0,0.1801935999999999
3,2,1000000.0,1.8652084
4,2,10000000.0,23.1055382
0,3,1000.0,1.4288041
1,3,10000.0,1.4368774000000002
2,3,100000.0,1.9635111
3,3,1000000.0,9.799193600000002
4,3,10000000.0,87.4588117
