method,elapsed,size
1,2.13e-5,1000
1,0.0001759,10000
1,0.0018395,100000
1,0.0307388,1000000
1,0.3347806,10000000
1,3.3585966,100000000
2,0.0003204,1000
2,0.0032949,10000
2,0.0358346,100000
2,0.3722053,1000000
2,3.6898649,10000000
2,38.1220979,100000000
3,0.0002925,1000
3,0.0017179,10000
3,0.0177636,100000
3,0.23299,1000000
3,2.3154698,10000000
3,23.8535365,100000000
