method,elapsed,size
1,1.4333e-5,1000
1,0.000140917,10000
1,0.001433958,100000
1,0.015406417,1000000
1,0.1580755,10000000
2,2.2375e-5,1000
2,0.000223459,10000
2,0.00223425,100000
2,0.022496125,1000000
2,0.226111333,10000000
3,0.000112292,1000
3,0.000374834,10000
3,0.002619167,100000
3,0.024591667,1000000
3,0.249201959,10000000
